Auto01,Auto02,Auto03,Auto04,Auto05,Auto06,Auto07,Com01,Com02,Com03,Com04,Com05,Com06,Com07,Com08,Com09,Rela01,Rela02,Rela03,Rela04,MoA01,MoA02,MoA03,MoA04,MoA05,MoA06,MoA07,MoA08,MoA09,MoA10,MoA11,MoA12,MoA13,MoA14,Tru01,Tru02,Tru03,Tru04,Tru05,Tru06,Tru07,FA01,FA02,FA03,FA04,FA05,FA06,FA07
5,5,4,4,3,5,5,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,3,4,5,3,4,4,4,3,3,5,3,2,2,2,3,4,1,4,5,5,4,1,1,1,1
4,4,4,4,4,4,4,3,4,3,4,3,4,4,3,3,3,3,3,2,4,4,4,3,3,4,1,4,4,4,3,2,4,2,4,3,4,4,4,2,4,3,3,4,3,3,2,2
4,4,4,4,4,4,5,4,4,4,5,4,5,5,4,4,2,3,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,3,3,4,4,3,3,1,4,4,4,4,3,3,4,3
5,5,5,4,3,4,5,3,4,5,2,1,4,5,4,3,1,1,1,1,5,5,5,3,1,3,1,5,5,5,3,3,3,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1
3,4,4,4,3,4,4,3,3,3,4,3,4,4,3,3,3,3,3,4,4,3,3,2,2,3,2,4,3,3,2,2,4,3,4,4,3,4,4,1,4,3,4,4,1,1,1,1
4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,2,2,3,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,2,4,4,4,4,2,2,2,2
4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,3,2,2,4,3,4,4,3,3,3,4,3,4,4,4,4,4,1,4,4,4,4,1,1,1,1
4,4,4,4,3,4,4,3,3,3,3,2,4,4,3,3,2,2,3,3,2,3,3,3,2,2,2,4,3,2,2,2,2,2,4,4,3,4,4,3,4,3,4,4,4,4,4,4
2,4,4,4,4,4,4,2,2,4,4,2,4,2,2,3,4,4,4,2,4,4,2,4,3,3,3,3,3,2,3,4,4,3,4,4,4,4,4,2,3,3,4,3,2,2,2,2
3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,3,2,2,2,2,2,2,3,4,3,3,3,4,2,3,3,3,3,2,2,2,2
4,4,4,4,4,3,4,3,4,3,4,4,4,4,3,3,4,4,4,3,3,2,2,2,1,1,2,3,3,2,2,1,2,2,3,3,3,3,4,3,4,4,4,4,3,3,3,3
4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2
5,5,5,5,5,5,5,2,2,3,4,2,4,5,4,3,4,3,2,1,5,4,5,2,1,2,3,3,3,5,3,1,4,3,2,1,3,4,2,1,4,5,4,5,1,1,1,1
4,4,4,4,3,4,4,3,4,4,4,3,3,4,4,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,4,4,4,4,3,2,4,4,4,4,1,1,1,1
5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,5,5,5,4,3,2,2,3,3,3,3,3,3,3,4,4,4,4,4,2,4,4,4,4,1,1,1,1
4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,4,2,4,3,3,3,2,2,2,4,3,3,4,3,4,3,4,4,3,4,3,3,3,4,3
5,5,5,4,4,4,4,2,2,3,4,4,4,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,2,2,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,3,2,2,2,2,4,4,2,4,4,4,4,4,4,4,5,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,3,2,4,4,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,2,2,4,1,2,2,2,2,2,2,4,3,3,4,4,4,4,4,4,4,4,3,3,3,2
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,2,4,4,1,3,3,3,3,3,3,3,4,4,4,4,4,1,4,4,4,4,4,4,2,2
5,5,5,4,4,5,5,5,5,5,4,4,4,4,4,5,3,3,3,3,2,3,2,2,3,4,1,3,2,2,2,3,4,1,4,4,4,4,1,2,4,4,4,4,2,2,2,2
4,3,4,3,4,4,4,3,3,3,2,3,3,3,3,3,2,2,2,3,4,3,3,2,2,3,2,4,4,4,3,3,4,5,4,3,3,4,4,3,4,4,4,4,2,1,1,1
4,4,4,5,5,4,4,5,5,5,4,4,4,5,4,4,4,3,3,3,3,2,2,2,1,4,1,2,2,2,2,2,4,1,3,3,3,3,3,3,3,3,4,4,4,2,2,2
4,4,4,4,4,4,4,2,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,5,4,5,4,4,5,4,3,4,4,4,4,3,3,2,2,3,3,2,4,3,1,2,3,2,2,2,4,2,4,4,5,4,4,4,4,4,4,4,2,2,2,2
3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,3,3,3,4,4,4,5,4,4,4,4,4,2,5,5,5,5,5,5,3,4,4,4,5,5,5,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4
5,4,5,5,4,4,4,3,4,4,4,3,4,5,5,4,3,3,4,3,4,4,4,3,3,4,3,5,4,4,3,4,4,4,5,5,5,5,5,3,4,4,4,4,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
4,5,3,4,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,3,2,2,4,4,4,4,4,4,4,5,4,4,3,3,3,3,4,4,4,4,4,4,4,2,1
4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,1,1,4,1,2,2,2,2,2,4,1,3,3,3,4,3,2,4,2,3,3,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,4,4,2,2,3,5,2,2,2,2,2,2,5,5,4,4,4,5,5,5,5,5,5,4,4,2,2,2
4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,4,4,4,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,4,4,2,2,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,1,1
5,5,5,5,4,5,4,4,2,2,3,3,3,3,4,4,3,3,3,3,2,2,2,2,2,4,1,2,2,1,1,2,5,1,4,4,4,4,2,2,4,2,4,2,2,1,1,1
5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,3,3,4,4,3,3,3,3,2,4,4,4,5,5,5,5,4,4,4,4,3,5,4,2,2,2
4,4,5,4,4,4,5,5,5,4,4,4,4,5,4,5,5,5,5,4,3,3,2,3,2,5,1,2,2,2,2,2,2,2,4,4,4,4,4,4,5,5,5,5,1,1,1,1
4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,2,2,5,3,4,2,2,3,2,4,4,4,4,2,3,3,4,4,4,4,4,3,4,4,4,4,4,1,1,1
4,4,4,4,5,4,4,3,4,3,4,4,4,5,3,3,4,4,4,2,4,4,3,3,2,4,3,4,4,3,2,2,4,4,3,4,3,4,3,3,4,5,4,4,2,2,1,2
4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,4,4,4,2,4,3,3,3,4,4,3,4,3,3,3,3,4,3,5,5,5,5,3,1,4,4,4,4,2,2,2,2
4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,4,4,4,2,2,1
4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,1,4,3,1,1,1,3,3,1,3,1,1,1,3,3,4,4,4,4,4,2,4,4,4,4,2,2,2,2
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,5,5,5,5,5,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,5,5,5,3,3,3,3
4,4,4,3,3,3,4,2,3,2,3,2,3,4,4,3,2,2,2,3,4,4,4,4,3,2,1,4,4,4,4,3,4,3,4,4,4,4,3,3,4,4,4,4,2,2,2,2
4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,3,3,3,3
4,3,3,3,4,4,4,3,3,3,4,3,4,4,3,4,3,3,4,2,4,3,4,3,3,3,3,4,4,4,4,3,3,3,3,3,2,4,3,2,4,4,4,3,3,3,3,3
4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,2,4,4,2,3,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,4,4,4,3,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,2,4,4,4,4,4,4,2,2
4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,5,3,3,4,4,4,4,2,2,2,2
3,4,4,3,4,4,4,2,3,3,3,3,3,3,3,3,2,2,2,3,4,4,4,3,2,4,3,4,4,4,3,3,4,3,3,3,3,3,4,2,4,3,4,3,3,2,3,3
4,2,4,4,3,4,4,4,4,4,3,2,4,4,4,4,2,2,2,3,5,4,3,2,1,2,3,5,4,3,2,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,4,2,2,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,4,3,3,3
4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,2,4,4,4,4,4,3,3,3
4,4,4,3,3,4,5,3,3,3,4,3,4,4,4,4,3,3,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,5,5,3,3,3,3,3
5,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,4,2,3,3,3,2,3,4,3,4,4,4,4,2,2,4,4,4,3,3,3,2,2
5,5,5,5,4,5,5,4,4,4,4,4,4,5,4,4,3,3,3,2,5,4,4,4,4,4,2,5,4,4,4,4,4,2,5,5,5,5,2,1,5,5,5,5,3,3,3,3
4,4,4,3,3,4,4,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,4,2,3,3,3,3,3,4,2,5,5,5,5,3,1,4,3,4,4,3,3,3,3
4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,2,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,4,4,4,5,4,3,3,4,3,4,4,4,3,2,2,3,2,3,2,1,1,2,4,2,3,3,2,1,1,4,2,4,4,4,4,3,1,4,4,4,3,2,1,1,1
1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,1,1,1
3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3
3,3,4,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,2,2,2,4,4,3,2,2,2,2,4,4,4,5,3,3,4,3,3,3,3,2,2,2
3,4,3,4,4,4,4,3,3,3,3,3,4,4,3,3,2,2,2,3,4,4,4,4,4,5,2,4,4,5,5,5,4,2,3,4,3,4,4,1,4,3,4,2,4,3,3,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,5,5,5,4,4,5,4,5,5,5,5,5,5,4,4,4,4,4,4,3,5,4,5,5,4,3,3,3
3,4,4,3,3,4,4,2,3,3,3,2,2,4,3,3,2,2,2,2,3,2,2,2,2,3,2,3,3,3,3,1,1,2,4,4,4,4,3,1,4,4,4,4,3,3,2,2
4,4,4,3,4,4,4,2,2,3,3,1,2,5,4,4,1,1,1,3,5,3,2,2,1,5,2,5,2,2,2,1,4,2,4,4,4,4,3,1,5,3,2,3,1,1,1,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,1,1,1
3,4,4,4,4,2,4,2,2,3,3,2,4,3,2,3,2,2,3,4,3,3,2,2,2,3,3,3,2,4,3,3,4,3,3,3,3,4,3,1,3,2,3,3,2,2,3,2
5,4,5,5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,5,2,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,2,4,5,4,4,2,2,2,1
5,5,5,3,4,5,5,3,4,4,4,4,5,4,5,3,3,3,3,3,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,4,4,4,4,3,5,5,5,4,4,4,4,4
5,5,5,5,4,5,4,1,3,3,4,3,4,4,4,3,4,4,4,1,4,3,4,3,4,4,2,4,3,4,3,3,3,2,4,4,5,4,3,1,4,2,4,3,1,1,1,1
5,5,4,4,5,4,5,3,3,3,3,3,4,4,4,3,2,2,2,3,3,4,4,4,4,3,2,4,4,5,3,2,3,3,4,3,4,4,3,2,4,3,4,4,2,2,2,2
